1875,53.3,54.6,55.1,58.3,63.2,64.9,68.9,72,68.3,67.9,60.8,57.1,62
1876,51.6,56,55.4,59.6,61.5,65.9,68.9,69.5,66.5,65,60,57.8,61.5
1877,57.2,58.5,59.2,57.8,60.8,67.4,69.3,68.9,68.6,63.9,60.9,56.5,62.4
1878,55.2,55.6,56.8,58.4,62.5,65.4,67.8,69.3,68.2,62.9,58,54.2,61.2
1879,52.4,55,58.5,59.4,61.5,65.6,67,69.5,67.2,63.4,56.6,53.8,60.8
1880,52.8,50.5,52.1,57,61.2,63.6,64.3,66.5,63.8,61.6,56.7,56,58.8
1881,52.6,55.2,54.6,60.9,62.8,64.6,68,68.1,66.5,61.2,56.4,55.1,60.5
1882,50.3,51.1,55.1,56.8,62.3,65,67.5,70.8,67.1,61.8,57,55.7,60
1883,53.5,54.2,57.7,57.4,61.1,67.5,69.8,69.7,70.5,61.9,59,57.2,61.6
1884,55.1,55.7,56.6,57.7,61.8,65.2,69.1,70.4,65.8,61.6,58.6,53.8,61
1885,54,55,59.6,62.4,64.1,64.6,68.5,72.6,68.3,64.1,59.7,57.4,62.5
1886,55.8,59,55.2,57.6,60.9,64.1,68,71.5,67.6,60,57.1,56.4,61.1
1887,53.7,52.6,57.4,59.1,62.1,64.9,66.9,66.5,66.2,64.8,59,54.5,60.6
1888,51.5,54.4,55.5,61.4,61.9,66.4,68.4,69.1,69.7,65,59.9,58.1,61.8
1889,54.8,58,59.1,60.5,60.7,64,67.6,70.7,70.1,65.4,62,57.4,62.5
1890,51,54.3,56.4,58.5,60.5,64.1,68.5,69.8,69.1,64.6,63.8,60.7,61.8
1891,54.6,53.3,56.9,58.1,60.8,63.7,69,72.4,70.2,63.9,59.3,52.2,61.2
1892,55.1,55.1,56.1,57.8,61.1,62.1,64.9,67.8,65.4,62.7,60.9,54.2,60.3
1893,57.4,54.5,54.2,57.5,61,63.4,67.3,70,64.6,62.7,57.6,57.5,60.6
1894,49.5,50.5,52.6,56.4,58.7,61.4,64.7,67.1,65.9,62.8,57.1,54.8,58.5
1895,53.1,55.8,55.3,57.9,61.9,63.1,65.7,67.1,67.4,64.4,59.4,55,60.5
1896,55.5,57.7,58.2,56.5,62,64.9,68.6,69.4,66.7,64.1,59.7,59,61.9
1897,55.7,54.6,54.1,59.8,60.9,63.4,67,69.9,68.1,62.5,60.2,55,60.9
1898,50.8,55.2,54.5,59.1,58.8,63.8,66.7,70.6,68.5,62.3,59.4,56.7,60.5
1899,55.5,53.4,56.5,58.2,57.7,61.4,65.6,65.8,65.5,62.7,60.9,58.7,60.2
1900,57.7,57.6,59.2,56.9,60.9,64.5,67.6,66.2,65.6,63.1,64.6,60.4,62
1901,56.2,57.5,60,57.4,60,62.5,65.7,68.2,64.9,62.8,60.9,57.8,61.2
1902,56.3,54.9,54.8,57.2,60.2,62.2,65.4,66.7,66.2,62.6,58.3,55.8,60
1903,56.8,52.3,57.7,58.4,60.5,63.3,66.2,68.4,67.9,63.5,61.6,57.9,61.2
1904,55.7,54.6,56.5,58.9,60.5,64.5,66.7,71,70.2,66.8,64.3,58.8,62.4
1905,58.1,59,59.6,59.1,59.9,62.7,65.3,67.3,66.4,63.8,59.2,56,61.4
1906,54.6,57.9,57.8,58.2,60,64.8,68.7,68.5,68.2,65.4,58.2,56.4,61.6
1907,52.8,60.1,56.6,59.5,60.7,62.9,68.1,67.2,65.1,64.9,61.2,57.8,61.4
1908,56.9,53.9,56.8,59.4,57.5,60.1,66.8,68,66.5,61.6,57.8,53.8,59.9
1909,54.2,54.1,54.5,59,59.8,62.6,65.1,68.5,66.7,63.7,57.2,53.7,59.9
1910,52.2,52.9,57.2,61.7,61.1,62,67,67.8,67.9,64,58.7,56.2,60.7
1911,56.2,52.2,58.1,57.7,59.3,62.4,66.1,67.4,66.2,63,61.7,53.5,60.3
1912,56.9,56.2,55.1,56.1,60.5,63.2,66.9,66.5,65.7,63.3,61.2,54.1,60.5
1913,50.6,53.4,55.1,58,59.7,62.8,68.2,68.9,70.3,65.5,60.9,55.4,60.7
1914,56.3,57.3,61.4,61.5,60.2,63.8,65.8,66.3,66,66,64.4,54.5,62
1915,55.2,55.4,59.4,59.7,60.6,64.8,67.5,69.5,66.5,62.7,59.6,55.5,61.4
1916,52.5,56.3,59.2,60.3,60.9,61.5,65,67,64.4,59.3,56.5,52.4,59.6
1917,51.6,54.7,54.6,57,58.4,63.7,68.9,68.6,68.2,64.7,60.8,58.6,60.8
1918,54.5,55.1,58.5,60.4,60.8,66.8,68,69.9,70.5,68.1,59.8,54.8,62.3
1919,56.6,53.6,55,59.2,61,66.1,68.6,68.3,66.5,62,58.6,56.5,61
1920,54.6,56.8,55.6,57.6,59.8,63.7,67,70.5,66.2,61.5,58.2,54.8,60.5
1921,53.5,55.2,57.5,57.4,58.5,63.1,68.4,68.2,66.8,64.5,60.5,59.3,61.1
1922,52.5,53.7,54.6,56.3,60.3,64.3,67.7,70.7,70,64,57.9,58,60.8
1923,56.3,55.2,58.4,59,63.2,62.3,67,67.8,68.2,64.4,63.9,57.5,61.9
1924,55.3,58.9,56.6,59.3,63,65.5,67,67,66.4,60.5,60.1,54,61.1
1925,54.5,56.6,57.2,58.6,62.3,64.6,70.3,68.8,66.6,63.6,60.8,60.3,62
1926,56.7,59.7,62.4,63.4,63.8,66.3,67.6,69.3,66,64.1,63.9,55.1,63.2
1927,55.4,56.4,56.5,58.2,61.5,63.3,69.1,68.9,66.5,64.6,63.3,56,61.6
1928,57.8,57.5,59.4,59.5,63,64,66.5,67.2,66.2,62.2,60.3,55.9,61.6
1929,54.4,53.2,55.6,57.5,62.7,65.2,69.5,72,68.2,66.7,62.1,60.3,62.3
1930,55.9,57.9,59.7,62,60,64.6,69.6,70.3,66.9,64.8,63,57.1,62.7
1931,57.7,59.2,61.9,63.8,66.2,68.7,73.6,73.8,69.7,66.6,57.3,53.8,64.4
1932,52.2,55.5,59,60.2,61.8,63.8,65.6,66,65.6,63.2,64.2,54.2,60.9
1933,52.8,52.7,57,57.7,58.1,61.6,65.5,66.6,62.7,62.3,61.5,55.1,59.5
1934,56.1,58.3,61.8,62.2,64.7,64,69,69,69.7,64.9,61.2,59.1,63.3
1935,56,57.4,54.5,59.9,61.5,63.4,67.9,70.5,67.3,64.1,58,57.4,61.5
1936,56.5,56.3,57.4,58.2,63.3,65.3,70.5,71.3,68.1,65,63.7,58.1,62.8
1937,49.3,54.4,56.6,59.7,62.1,64.9,68.4,68.7,69.4,64.6,60.1,60.3,61.5
1938,58.5,57.2,57.2,59.9,61.5,63.2,66.8,69.5,70.4,63.6,59.2,59.6,62.2
1939,55.5,52.4,55.1,61,62.3,64.8,69.1,71,73.2,67.4,62.7,60.4,62.9
1940,58.1,57.9,60.3,62.6,64.8,65.2,68.4,69.1,68.7,66.5,61.1,60.8,63.6
1941,57.6,59.9,62,60.9,67.2,66.5,69.4,70.8,68,65.5,63.4,57.5,64.1
1942,57.7,55.6,57.9,60.2,62.1,64.9,69.6,70.1,67.8,65.9,61,57.5,62.6
1943,56.9,59.7,60,61.1,65,65.2,69.1,71.2,68.7,65.7,61.7,57.8,63.5
1944,56.3,54.6,58.7,59.5,63.1,64.2,66.7,69.3,66.9,64.6,59.8,58.2,61.7
1945,55.3,56.8,55.8,58.4,62.6,65,68.8,69,71.4,67.4,60,57.3,61.7
1946,56.1,54.4,57.1,62.4,63.7,68,70.8,72.4,71.1,64.2,58.2,57.1,63
1947,53.5,58.5,60.8,63,63.9,66.7,69.5,70.9,71.1,66.5,58.4,55.8,63.2
1948,55.7,54.1,55.9,61.2,62.5,64.6,67,68.3,68.3,64.1,60,53.6,61.3
1949,47.8,52.7,56.2,61.3,63,67.2,69.3,70.2,70,64.3,64.7,54.9,61.8
1950,52,55.6,58.2,60.6,61.1,64.1,69.6,68.2,67.4,66.8,62.5,59.7,62.2
1951,55.6,55.6,58.7,60.7,62.1,65.7,69.3,69,67.8,66.7,61.5,55.5,62.4
1952,54.4,57.8,55.9,59.7,64.1,63.9,68.2,70.2,70.4,65.1,59.6,56.4,62.1
1953,60,57,57.6,58.9,62.9,64.8,70.7,69.9,68.1,67.4,63.1,57.6,63.2
1954,55,61.2,57.2,61,62.9,65,71.9,71,69.3,64.1,63.7,58.1,63.4
1955,53.9,55.5,59.7,59.6,61.7,64.7,68.2,72.4,71.5,63.3,60,57.1,62.3
1956,55.4,53.5,58.1,58.7,64.5,66.3,69.4,69.7,72.1,65.7,64.2,59.9,63.1
1957,56.4,60.1,59.6,60.7,63.2,68.2,71.3,73.3,70,65.6,60.7,61.4,64.2
1958,59.4,60.5,57.6,63.7,65.9,68,70.1,73,72.7,70.9,61.9,61.9,65.5
1959,59.7,57.1,63.3,64.6,64.3,68.2,73.6,73.5,71.6,67.2,65.3,60.2,65.7
1960,54.8,56.9,60,62.9,64.8,66.4,71.1,71.2,72.3,66,60.5,56.3,63.6
1961,60.7,59,58.9,61.9,61.5,64.7,70.1,72.5,69.5,66.7,60.3,56.1,63.5
1962,56.7,56.5,55.7,61.7,62.5,63.9,68.2,70.5,68.4,64.6,59.8,56.4,62.1
1963,55,61.2,57.4,58.7,63.6,64.7,68.2,72,74.3,68.1,61.2,58.5,63.6
1964,55.2,56.7,57.7,60.2,60.9,64,69.2,70.7,67.7,68.6,59.1,55.6,62.1
1965,56,55.9,58.6,60.7,62.5,63.7,67.7,72,68.5,69.4,60.9,55.1,62.6
1966,53.9,54.6,58,61.3,63.4,66.5,69.2,72.6,69.9,67.6,61.8,57.2,63
1967,55,57.7,59,56.5,63.5,63.6,70.4,73.1,72,68.1,64.1,55.5,63.2
1968,57.2,60.7,60.6,62.4,63.9,65.8,71.7,72.2,71.2,66.5,61.7,54.9,64.1
1969,58.1,54.9,56.8,61.7,62.9,65.5,69.4,72.8,69.9,66,64.1,59.1,63.4
1970,57,59.7,60.4,60.1,63.5,65.6,70.3,72.8,69.7,66.3,61.4,55.4,63.5
1971,54.3,55.4,57.8,60.7,61.4,64.9,69.3,75.4,72.2,65.7,59.5,54.1,62.6
1972,54.8,57.8,60.2,62.3,64.7,67,72.7,72.2,68.7,65.5,59.8,57.5,63.6
1973,55.5,59.9,58,61.5,63.4,68,69.1,70.4,68.8,66.8,60.6,58.2,63.4
1974,56.8,58.2,59.1,62,63.3,66.9,71.4,70.1,70.2,66.7,62.2,56.3,63.6
1975,56.1,56.3,57.5,58.7,62.1,65,69.3,68.9,71.5,65.8,60.4,56.9,62.4
